file,label
data\features\mel_spectrograms\fake\ai_741_3.npy,0
data\features\mel_spectrograms\fake\ai_813_0.npy,0
data\features\mel_spectrograms\real\6923_0.npy,1
data\features\mel_spectrograms\real\8885_0.npy,1
data\features\mel_spectrograms\fake\ai_01090_1.npy,0
data\features\mel_spectrograms\fake\ai_00534_0.npy,0
data\features\mel_spectrograms\real\human_0068_1.npy,1
data\features\mel_spectrograms\fake\ai_40_2.npy,0
data\features\mel_spectrograms\fake\ai_89_2.npy,0
data\features\mel_spectrograms\real\2851_1.npy,1
data\features\mel_spectrograms\fake\ai_783_0.npy,0
data\features\mel_spectrograms\real\26954_1.npy,1
data\features\mel_spectrograms\fake\ai_70_4.npy,0
data\features\mel_spectrograms\real\human_0962_1.npy,1
data\features\mel_spectrograms\real\human_0388_1.npy,1
data\features\mel_spectrograms\real\human_0530_1.npy,1
data\features\mel_spectrograms\real\human_0261_0.npy,1
data\features\mel_spectrograms\fake\ai_00664_0.npy,0
data\features\mel_spectrograms\real\human_0795_0.npy,1
data\features\mel_spectrograms\fake\ai_607_0.npy,0
data\features\mel_spectrograms\fake\ai_31_1.npy,0
data\features\mel_spectrograms\fake\ai_696_1.npy,0
data\features\mel_spectrograms\real\human_0158_1.npy,1
data\features\mel_spectrograms\real\human_0837_0.npy,1
data\features\mel_spectrograms\fake\ai_00128_1.npy,0
data\features\mel_spectrograms\fake\ai_650_2.npy,0
data\features\mel_spectrograms\real\21225_1.npy,1
data\features\mel_spectrograms\fake\ai_701_3.npy,0
data\features\mel_spectrograms\fake\ai_01050_0.npy,0
data\features\mel_spectrograms\real\human_0473_1.npy,1
data\features\mel_spectrograms\fake\ai_243_3.npy,0
data\features\mel_spectrograms\fake\ai_01033_1.npy,0
data\features\mel_spectrograms\fake\ai_281_0.npy,0
data\features\mel_spectrograms\fake\ai_289_1.npy,0
data\features\mel_spectrograms\fake\ai_323_1.npy,0
data\features\mel_spectrograms\fake\ai_00236_0.npy,0
data\features\mel_spectrograms\fake\ai_218_3.npy,0
data\features\mel_spectrograms\fake\ai_397_1.npy,0
data\features\mel_spectrograms\fake\ai_00903_1.npy,0
data\features\mel_spectrograms\real\15737_0.npy,1
data\features\mel_spectrograms\fake\ai_218_0.npy,0
data\features\mel_spectrograms\real\human_0786_1.npy,1
data\features\mel_spectrograms\fake\ai_01025_1.npy,0
data\features\mel_spectrograms\real\human_0945_2.npy,1
data\features\mel_spectrograms\fake\ai_00005_0.npy,0
data\features\mel_spectrograms\fake\ai_00403_1.npy,0
data\features\mel_spectrograms\real\10701_0.npy,1
data\features\mel_spectrograms\real\14299_0.npy,1
data\features\mel_spectrograms\real\human_0199_1.npy,1
data\features\mel_spectrograms\real\21587_1.npy,1
data\features\mel_spectrograms\fake\ai_94_4.npy,0
data\features\mel_spectrograms\real\human_0637_0.npy,1
data\features\mel_spectrograms\fake\ai_00047_1.npy,0
data\features\mel_spectrograms\fake\ai_00281_0.npy,0
data\features\mel_spectrograms\fake\ai_3_4.npy,0
data\features\mel_spectrograms\real\human_0487_2.npy,1
data\features\mel_spectrograms\real\2397_1.npy,1
data\features\mel_spectrograms\fake\ai_00331_1.npy,0
data\features\mel_spectrograms\real\2350_0.npy,1
data\features\mel_spectrograms\real\human_0980_0.npy,1
data\features\mel_spectrograms\real\human_0445_1.npy,1
data\features\mel_spectrograms\fake\ai_833_2.npy,0
data\features\mel_spectrograms\real\human_0661_0.npy,1
data\features\mel_spectrograms\fake\ai_00606_1.npy,0
data\features\mel_spectrograms\real\human_0325_0.npy,1
data\features\mel_spectrograms\real\3996_0.npy,1
data\features\mel_spectrograms\fake\ai_342_3.npy,0
data\features\mel_spectrograms\fake\ai_00227_0.npy,0
data\features\mel_spectrograms\fake\ai_00703_2.npy,0
data\features\mel_spectrograms\fake\ai_00405_1.npy,0
data\features\mel_spectrograms\fake\ai_133_3.npy,0
data\features\mel_spectrograms\real\22060_0.npy,1
data\features\mel_spectrograms\real\human_0779_0.npy,1
data\features\mel_spectrograms\fake\ai_00557_0.npy,0
data\features\mel_spectrograms\fake\ai_38_3.npy,0
data\features\mel_spectrograms\real\human_0301_0.npy,1
data\features\mel_spectrograms\fake\ai_00104_0.npy,0
data\features\mel_spectrograms\fake\ai_00772_1.npy,0
data\features\mel_spectrograms\fake\ai_00940_1.npy,0
data\features\mel_spectrograms\fake\ai_6_3.npy,0
data\features\mel_spectrograms\fake\ai_282_1.npy,0
data\features\mel_spectrograms\fake\ai_00534_1.npy,0
data\features\mel_spectrograms\real\21360_1.npy,1
data\features\mel_spectrograms\real\3299_0.npy,1
data\features\mel_spectrograms\real\human_0698_0.npy,1
data\features\mel_spectrograms\real\human_0855_1.npy,1
data\features\mel_spectrograms\real\human_0638_0.npy,1
data\features\mel_spectrograms\real\human_0792_1.npy,1
data\features\mel_spectrograms\fake\ai_00800_1.npy,0
data\features\mel_spectrograms\fake\ai_225_2.npy,0
data\features\mel_spectrograms\fake\ai_00667_1.npy,0
data\features\mel_spectrograms\real\3598_1.npy,1
data\features\mel_spectrograms\fake\ai_00457_2.npy,0
data\features\mel_spectrograms\fake\ai_219_0.npy,0
data\features\mel_spectrograms\real\human_0938_0.npy,1
data\features\mel_spectrograms\real\24539_0.npy,1
data\features\mel_spectrograms\fake\ai_00720_1.npy,0
data\features\mel_spectrograms\fake\ai_00470_1.npy,0
data\features\mel_spectrograms\fake\ai_83_4.npy,0
data\features\mel_spectrograms\fake\ai_919_1.npy,0
data\features\mel_spectrograms\fake\ai_364_1.npy,0
data\features\mel_spectrograms\fake\ai_85_4.npy,0
data\features\mel_spectrograms\fake\ai_00686_1.npy,0
data\features\mel_spectrograms\real\human_0504_1.npy,1
data\features\mel_spectrograms\fake\ai_158_0.npy,0
data\features\mel_spectrograms\fake\ai_715_3.npy,0
data\features\mel_spectrograms\fake\ai_587_1.npy,0
data\features\mel_spectrograms\real\human_0536_2.npy,1
data\features\mel_spectrograms\real\human_0622_1.npy,1
data\features\mel_spectrograms\real\human_0214_0.npy,1
data\features\mel_spectrograms\fake\ai_00326_1.npy,0
data\features\mel_spectrograms\real\2350_1.npy,1
data\features\mel_spectrograms\fake\ai_655_0.npy,0
data\features\mel_spectrograms\real\human_0303_2.npy,1
data\features\mel_spectrograms\real\human_0353_1.npy,1
data\features\mel_spectrograms\fake\ai_687_2.npy,0
data\features\mel_spectrograms\fake\ai_433_3.npy,0
data\features\mel_spectrograms\fake\ai_01048_0.npy,0
data\features\mel_spectrograms\fake\ai_574_1.npy,0
data\features\mel_spectrograms\real\2528_0.npy,1
data\features\mel_spectrograms\fake\ai_00372_1.npy,0
data\features\mel_spectrograms\real\human_0912_0.npy,1
data\features\mel_spectrograms\real\human_0107_1.npy,1
data\features\mel_spectrograms\fake\ai_139_0.npy,0
data\features\mel_spectrograms\fake\ai_300_3.npy,0
data\features\mel_spectrograms\real\19705_1.npy,1
data\features\mel_spectrograms\fake\ai_00683_1.npy,0
data\features\mel_spectrograms\fake\ai_918_2.npy,0
data\features\mel_spectrograms\real\8047_1.npy,1
data\features\mel_spectrograms\real\human_0546_0.npy,1
data\features\mel_spectrograms\fake\ai_00433_1.npy,0
data\features\mel_spectrograms\real\928_1.npy,1
data\features\mel_spectrograms\real\24621_0.npy,1
data\features\mel_spectrograms\real\human_0100_2.npy,1
data\features\mel_spectrograms\real\21472_0.npy,1
data\features\mel_spectrograms\real\human_0038_0.npy,1
data\features\mel_spectrograms\real\14606_1.npy,1
data\features\mel_spectrograms\real\3468_0.npy,1
data\features\mel_spectrograms\fake\ai_37_3.npy,0
data\features\mel_spectrograms\fake\ai_00655_0.npy,0
data\features\mel_spectrograms\fake\ai_435_2.npy,0
data\features\mel_spectrograms\real\human_0095_1.npy,1
data\features\mel_spectrograms\fake\ai_00741_0.npy,0
data\features\mel_spectrograms\fake\ai_00783_1.npy,0
data\features\mel_spectrograms\real\human_0642_1.npy,1
data\features\mel_spectrograms\fake\ai_00167_1.npy,0
data\features\mel_spectrograms\fake\ai_840_0.npy,0
data\features\mel_spectrograms\fake\ai_339_1.npy,0
data\features\mel_spectrograms\real\5756_1.npy,1
data\features\mel_spectrograms\real\8575_0.npy,1
data\features\mel_spectrograms\real\898_1.npy,1
data\features\mel_spectrograms\real\human_0549_1.npy,1
data\features\mel_spectrograms\fake\ai_556_1.npy,0
data\features\mel_spectrograms\fake\ai_938_0.npy,0
data\features\mel_spectrograms\fake\ai_197_3.npy,0
data\features\mel_spectrograms\fake\ai_00917_0.npy,0
data\features\mel_spectrograms\fake\ai_264_2.npy,0
data\features\mel_spectrograms\real\human_0482_0.npy,1
data\features\mel_spectrograms\fake\ai_86_3.npy,0
data\features\mel_spectrograms\real\human_0088_1.npy,1
data\features\mel_spectrograms\real\4595_1.npy,1
data\features\mel_spectrograms\real\human_0189_0.npy,1
data\features\mel_spectrograms\fake\ai_00441_1.npy,0
data\features\mel_spectrograms\real\human_0617_2.npy,1
data\features\mel_spectrograms\fake\ai_550_0.npy,0
data\features\mel_spectrograms\fake\ai_855_2.npy,0
data\features\mel_spectrograms\fake\ai_714_0.npy,0
data\features\mel_spectrograms\fake\ai_00255_1.npy,0
data\features\mel_spectrograms\real\12553_1.npy,1
data\features\mel_spectrograms\fake\ai_01015_1.npy,0
data\features\mel_spectrograms\fake\ai_00811_1.npy,0
data\features\mel_spectrograms\real\13310_1.npy,1
data\features\mel_spectrograms\fake\ai_00515_1.npy,0
data\features\mel_spectrograms\fake\ai_00377_2.npy,0
data\features\mel_spectrograms\fake\ai_402_0.npy,0
data\features\mel_spectrograms\real\18223_0.npy,1
data\features\mel_spectrograms\fake\ai_00922_1.npy,0
data\features\mel_spectrograms\fake\ai_357_2.npy,0
data\features\mel_spectrograms\real\human_0759_0.npy,1
data\features\mel_spectrograms\fake\ai_00876_0.npy,0
data\features\mel_spectrograms\real\16765_1.npy,1
data\features\mel_spectrograms\fake\ai_431_2.npy,0
data\features\mel_spectrograms\real\21567_1.npy,1
data\features\mel_spectrograms\real\16081_1.npy,1
data\features\mel_spectrograms\fake\ai_00677_1.npy,0
data\features\mel_spectrograms\real\18326_0.npy,1
data\features\mel_spectrograms\real\human_0034_0.npy,1
data\features\mel_spectrograms\real\human_0146_0.npy,1
data\features\mel_spectrograms\fake\ai_111_4.npy,0
